"Awarding Organisation","Title","Qualification Number","Status","Type","Level","Sector Subject Area","Included in performance tables","Certificates"
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Basketball","600/0063/6","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",55
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Orienteering (QCF)","600/0064/8","No longer awarded","QCF","Level 2","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Triathlon (QCF)","600/0065/X","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Squash (QCF)","600/0066/1","No longer awarded","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Basketball","600/0086/7","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 1 Award In Coaching Table Tennis","600/0171/9","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",120
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Badminton (QCF)","600/0173/2","No longer awarded","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 1 Award In Coaching Strength and Conditioning for Sport","600/0199/9","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",45
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Strength and Conditioning for Sport","600/0200/1","No longer available to new learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",90
"1st4sport Qualifications","1st4sport Level 3 Award In Assessing Vocationally Related Achievement","600/0270/0","Available to learners","Other Vocational Qualification","Level 3","Education and Training","No",15
"1st4sport Qualifications","1st4sport Level 4 Award In the Internal Quality Assurance of Assessment Processes and Practice","600/0272/4","Available to learners","Other Vocational Qualification","Level 4","Education and Training","No",15
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Strength and Conditioning for Sport","600/0337/6","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 3 Certificate In Managing Sports Volunteers","600/0374/1","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",30
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Track Cycling ","600/0402/2","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 2 Certificate in Supporting Learning in Physical Education and School Sport (QCF)","600/0463/0","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",270
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Gymnastics","600/0487/3","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",765
"1st4sport Qualifications","1st4sport Level 2 Award In Multi-Skills Development in Sport (QCF)","600/0488/5","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",330
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Tennis","600/0489/7","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",690
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Boccia","600/0490/3","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",40
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Parkour/ Freerunning","600/0492/7","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",55
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Table Tennis","600/0493/9","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Road and Time Trial Cycling","600/0494/0","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Rowing (QCF)","600/0499/X","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",35
"1st4sport Qualifications","1st4sport Level 1 Award In Coaching Archery","600/0507/5","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",360
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Rugby Union","600/0610/9","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",70
"1st4sport Qualifications","1st4sport Level 3 NVQ Certificate in Spectator Safety (QCF)","600/0813/1","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Functional Skills Qualification in English at Level 1","600/0884/2","No longer awarded","Functional Skills","Level 1","Preparation for Life and Work","No",35
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Hockey (QCF)","600/1012/5","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 2 NVQ Certificate in Activity Leadership","600/1201/8","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",855
"1st4sport Qualifications","1st4sport Level 1 Award In Coaching Lacrosse (QCF)","600/1436/2","No longer awarded","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Level 3 Award In Assessing Competence in the Work Environment","600/1440/4","Available to learners","Other Vocational Qualification","Level 3","Education and Training","No",15
"1st4sport Qualifications","1st4sport Level 3 Certificate In Assessing Vocational Achievement","600/1441/6","Available to learners","Other Vocational Qualification","Level 3","Education and Training","No",15
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching  Wrestling","600/1487/8","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",30
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Handball","600/1541/X","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 3 NVQ Diploma in Outdoor Programmes","600/1770/3","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",25
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Parkour/Freerunning","600/1885/9","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 2 Award in First Aid for Sport (QCF)","600/2189/5","No longer awarded","Other Vocational Qualification","Level 2","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 3 Certificate In Leisure Management","600/2516/5","No longer available to new learners","Vocationally-Related Qualification","Level 3","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 3 NVQ Diploma in Leisure Management","600/2517/7","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 2 Award In Introductory Work in the Outdoors","600/2685/6","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",25
"1st4sport Qualifications","1st4sport Level 2 Certificate in the Principles and Preparations for Coaching Sport","600/2718/6","No longer available to new learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",835
"1st4sport Qualifications","1st4sport Level 3 Certificate in Coaching Cricket","600/2759/9","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",45
"1st4sport Qualifications","1st4sport Level 4 NVQ Diploma in Spectator Safety Management (QCF)","600/2789/7","No longer available to new learners","Occupational Qualification","Level 4","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 2 Diploma in Coaching Tennis","600/2835/X","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Level 3 Certificate in Coaching Rowing","600/3002/1","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Fives","600/3895/0","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 3 NVQ Diploma in Sports Development","600/4301/5","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",50
"1st4sport Qualifications","1st4sport Functional Skills Qualification in Mathematics at Level 1","600/4315/5","No longer awarded","Functional Skills","Level 1","Preparation for Life and Work","No",25
"1st4sport Qualifications","1st4sport Level 3 Award in Workforce Mentoring ","600/4335/0","Available to learners","Other Vocational Qualification","Level 3","Education and Training","No",10
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Wrestling","600/4339/8","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 3 Certificate in Talented Athlete Lifestyle Support","600/4384/2","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",30
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Volleyball ","600/4495/0","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",25
"1st4sport Qualifications","1st4sport Level 3 Certificate in Coaching Judo","600/4899/2","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Mountain Biking","600/6042/6","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Bowls","600/6090/6","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",55
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Wakeboarding","600/7767/0","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 3 Certificate In Coaching Water Skiing","600/7768/2","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 2 Certificate in Leisure Operations","600/7983/6","No longer available to new learners","Vocationally-Related Qualification","Level 2","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 3 Certificate in Supporting the Delivery of Physical Education and School Sport (QCF)","600/9524/6","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",235
"1st4sport Qualifications","1st4sport Level 3 NVQ Diploma in Supporting the Delivery of Physical Education and School Sport","600/9577/5","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",850
"1st4sport Qualifications","1st4sport Level 2 Award in Emergency First Aid at Work (QCF)","601/0285/8","No longer awarded","Other Vocational Qualification","Level 2","Health, Public Services and Care","No",185
"1st4sport Qualifications","1st4sport Level 2 Award In Leadership through Gymnastics (QCF)","601/0422/3","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Level 3 Award in Education and Training","601/0460/0","Available to learners","Other Vocational Qualification","Level 3","Education and Training","No",60
"1st4sport Qualifications","1st4sport Level 3 Award in Delivering Learning","601/0920/8","Available to learners","Other Vocational Qualification","Level 3","Education and Training","No",15
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Childrenâ€™s Cricket ","601/1072/7","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",975
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Young People and Adults Cricket ","601/1093/4","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",425
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Boccia","601/1191/4","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Level 3 Diploma in Coaching Tennis","601/1698/5","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Participation Motor Sport","601/1787/4","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Performance Motor Sport","601/1857/X","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Cable Wakeboarding ","601/3196/2","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Functional Skills Qualification in English at Level 2","601/3210/3","No longer available to new learners","Functional Skills","Level 2","Preparation for Life and Work","No",30
"1st4sport Qualifications","1st4sport Functional Skills Qualification in Maths at Level 2","601/3353/3","No longer available to new learners","Functional Skills","Level 2","Preparation for Life and Work","No",15
"1st4sport Qualifications","1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance","601/4158/X","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",280
"1st4sport Qualifications","1st4sport Level 3 Certificate in Understanding Sports Performance","601/4176/1","No longer available to new learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",280
"1st4sport Qualifications","1st4sport Level 2 Certificate In the Principles of Horse Care","601/4893/7","Available to learners","Vocationally-Related Qualification","Level 2","Agriculture, Horticulture and Animal Care","No",655
"1st4sport Qualifications","1st4sport Level 2 Certificate In the Structure of the Horseracing Industry","601/4894/9","Available to learners","Vocationally-Related Qualification","Level 2","Agriculture, Horticulture and Animal Care","No",40
"1st4sport Qualifications","1st4sport Level 3 Certificate in the Principles of Horse Care and Management","601/4904/8","Available to learners","Vocationally-Related Qualification","Level 3","Agriculture, Horticulture and Animal Care","No",290
"1st4sport Qualifications","1st4sport Level 3 Diploma in The Organisation and Administration of the Horseracing Industry","601/4905/X","Available to learners","Vocationally-Related Qualification","Level 3","Agriculture, Horticulture and Animal Care","No",0
"1st4sport Qualifications","1st4sport Entry Level Award in Assisting with Basic Care of Horses (Entry 2)","601/4935/8","Available to learners","Occupational Qualification","Entry Level","Agriculture, Horticulture and Animal Care","No",5
"1st4sport Qualifications","1st4sport Entry Level Award in Basic Knowledge of the Horseracing Industry (Entry 3)","601/4970/X","Available to learners","Vocationally-Related Qualification","Entry Level","Agriculture, Horticulture and Animal Care","No",75
"1st4sport Qualifications","1st4sport Entry Level Award In Catching and Leading, Grooming and Rugging up a Horse (Entry 3)","601/4971/1","Available to learners","Occupational Qualification","Entry Level","Agriculture, Horticulture and Animal Care","No",5
"1st4sport Qualifications","1st4sport Entry Level Award In Recognising, Putting on and Cleaning Saddle and Bridle (Entry 3)","601/4972/3","Available to learners","Occupational Qualification","Entry Level","Agriculture, Horticulture and Animal Care","No",5
"1st4sport Qualifications","1st4sport Level 1 Award in an Introduction to the Horseracing Industry","601/4975/9","Available to learners","Vocationally-Related Qualification","Level 1","Agriculture, Horticulture and Animal Care","No",290
"1st4sport Qualifications","1st4sport Level 1 Diploma in Work Based Horse Care","601/4976/0","Available to learners","Occupational Qualification","Level 1","Agriculture, Horticulture and Animal Care","No",35
"1st4sport Qualifications","1st4sport Level 1 Diploma in Work Based Racehorse Care and Riding","601/4977/2","Available to learners","Occupational Qualification","Level 1","Agriculture, Horticulture and Animal Care","No",200
"1st4sport Qualifications","1st4sport Level 2 Diploma in Work Based Racehorse Care","601/5036/1","Available to learners","Occupational Qualification","Level 2","Agriculture, Horticulture and Animal Care","No",215
"1st4sport Qualifications","1st4sport Level 3 Award in the Principles of Transporting Horses by Road on Short Journeys","601/5037/3","Available to learners","Occupational Qualification","Level 3","Agriculture, Horticulture and Animal Care","No",200
"1st4sport Qualifications","1st4sport Level 3 Award in the Principles of Transporting Horses on Long Journeys","601/5038/5","Available to learners","Occupational Qualification","Level 3","Agriculture, Horticulture and Animal Care","No",80
"1st4sport Qualifications","1st4sport Level 3 Diploma in Farriery - Work Based","601/5039/7","Available to learners","Occupational Qualification","Level 3","Agriculture, Horticulture and Animal Care","No",70
"1st4sport Qualifications","1st4sport Level 3 Diploma in Work Based Racehorse Care and Management","601/5040/3","Available to learners","Occupational Qualification","Level 3","Agriculture, Horticulture and Animal Care","No",65
"1st4sport Qualifications","1st4sport Level 3 Certificate In Thoroughbred Stud Practice","601/5536/X","Available to learners","Occupational Qualification","Level 3","Agriculture, Horticulture and Animal Care","No",35
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Hockey (QCF)","601/6288/0","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 2 Award in Sessional Hockey Coaching (QCF)","601/6294/6","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",35
"1st4sport Qualifications","1st4sport Level 3 Certificate In Supporting Physical Development and Physical Activity in the Early Years","601/6581/9","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 2 Certificate in Fitness Instructing","601/6790/7","No longer available to new learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",20
"1st4sport Qualifications","1st4sport Level 2 NVQ Diploma in Instructing Exercise and Fitness","601/6791/9","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",5
"1st4sport Qualifications","1st4sport Level 3 Certificate in Personal Training","601/6792/0","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 3 NVQ Diploma In Personal Training ","601/6794/4","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 2 Certificate In Assisting with the Rehabilitation of Horses","601/6912/6","Available to learners","Occupational Qualification","Level 2","Agriculture, Horticulture and Animal Care","No",0
"1st4sport Qualifications","1st4sport Level 2 Certificate In Coaching Wheelchair Rugby","601/6980/1","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 3 Diploma in Sport and Physical Activities","601/7671/4","Available to learners","Applied Generals","Level 3","Leisure, Travel and Tourism","Yes",0
"1st4sport Qualifications","1st4sport Level 2 Certificate in Active Leisure, Sport and Physical Activities ","601/7678/7","Available to learners","Technical Awards","Level 2","Leisure, Travel and Tourism","Yes",95
"1st4sport Qualifications","1st4sport Level 2 Diploma in Coaching Sport and Instructing Physical Activities","601/7696/9","Available to learners","Technical Certificates","Level 2","Leisure, Travel and Tourism","Yes",5
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Skateboard Sessions","601/8227/1","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",60
"1st4sport Qualifications","1st4sport Level 1 Award for Assistant Coaches in Badminton ","601/8262/3","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",460
"1st4sport Qualifications","1st4sport Level 2 Certificate for Coaches in Badminton","601/8263/5","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",120
"1st4sport Qualifications","1st4sport Level 2 Award in Olympic Weight Lifting","601/8264/7","No longer available to new learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",50
"1st4sport Qualifications","1st4sport Level 2 Award in Weight Training","601/8311/1","No longer awarded","Other Vocational Qualification","Level 2","Leisure, Travel and Tourism","No",15
"1st4sport Qualifications","1st4sport Level 2 Award in Applying Health and Wellbeing Principles through Physical Activity","601/8490/5","No longer available to new learners","Vocationally-Related Qualification","Level 2","Leisure, Travel and Tourism","No",40
"1st4sport Qualifications","1st4sport Level 2 Award in Coaching Rowing Sessions ","601/8831/5","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",125
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Bowls","601/8837/6","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",220
"1st4sport Qualifications","1st4sport Level 1 Award for Activators","601/8841/8","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",330
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Weight Lifting","601/8846/7","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",410
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Football","601/8885/6","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",20360
"1st4sport Qualifications","1st4sport Level 1 Award in Coaching Gymnastics","601/8897/2","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",1895
"1st4sport Qualifications","1st4sport Level 3 Certificate for Head Coaches in Badminton ","601/8903/4","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",10
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Weight Lifting ","601/8957/5","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",140
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Football","601/8972/1","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",2580
"1st4sport Qualifications","1st4sport Level 1 Award in Developing Community Activities for Youth at Risk","603/0061/9","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",60
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Korfball","603/0148/X","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",0
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Taekwondo","603/0184/3","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",55
"1st4sport Qualifications","1st4sport Level 2 Award for BWL Technical Officials ","603/0186/7","No longer awarded","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",105
"1st4sport Qualifications","1st4sport Level 1 Triathlon Coach","603/0402/9","Available to learners","Occupational Qualification","Level 1","Leisure, Travel and Tourism","No",345
"1st4sport Qualifications","1st4sport Level 2 Triathlon Coach","603/0404/2","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",235
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Netball","603/0561/7","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",140
"1st4sport Qualifications","1st4sport Level 2 Award in Instructing Weight Lifting","603/0847/3","No longer available to new learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",105
"1st4sport Qualifications","1st4sport Level 3 Award in Supporting the Delivery of Dance in Physical Education and School Sport","603/0894/1","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",170
"1st4sport Qualifications","1st4sport Level 2 Certificate in Coaching Orienteering","603/0966/0","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",5
